 2017-04-18 16:44:39,779 [P9460/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.9 application starting on RASMUSCHRISA646
 2017-04-18 16:44:39,834 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-04-18 16:44:39,861 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 26ms)
 2017-04-18 16:44:39,923 [P9460/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-04-18 16:44:39,924 [P9460/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-04-18 16:44:39,929 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-04-18 16:44:40,283 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 354ms)
 2017-04-18 16:44:40,495 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-04-18 16:44:40,496 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2017-04-18 16:44:40,496 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-04-18 16:44:40,497 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2017-04-18 16:44:40,514 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-04-18 16:44:40,559 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 44ms)
 2017-04-18 16:44:40,560 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-04-18 16:44:40,567 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 6ms)
 2017-04-18 16:44:40,805 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-04-18 16:44:40,805 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2017-04-18 16:44:40,806 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-04-18 16:44:40,812 [P9460/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 6ms)
 2017-04-18 16:44:44,231 [P9460/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-04-18 16:44:44,904 [P9460/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-04-18 16:44:45,167 [P9460/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-04-18 16:44:45,299 [P9460/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-04-18 16:44:45,350 [P9460/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 5684ms)
 2017-04-18 16:44:48,898 [P9460/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:54029/umbraco (UmbracoModule request)
 2017-04-18 16:44:51,326 [P9460/D2/T10] INFO  umbraco.content - Load Xml from file...
 2017-04-18 16:44:51,339 [P9460/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2017-04-18 16:44:52,085 [P9460/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-04-18 16:44:52,086 [P9460/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 1ms)
 2017-04-18 16:44:52,970 [P9460/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-04-18 16:44:52,971 [P9460/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 1ms)
 2017-04-18 16:44:53,126 [P9460/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
 2017-04-18 16:44:53,127 [P9460/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 0 (took 0ms)
 2017-04-18 16:45:20,420 [P9460/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-04-18 16:45:20,421 [P9460/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 0ms)
